iter	RMSE
0	13.83833126
1	13.39757482
2	12.97095168
3	12.57655632
4	12.18778398
5	11.79010997
6	11.41881049
7	11.05060283
8	10.75056801
9	10.42308253
10	10.10475929
11	9.805591018
12	9.511913063
13	9.228468182
14	8.956180215
15	8.70626619
16	8.457963286
17	8.23263037
18	8.004299746
19	7.808208615
20	7.585483651
21	7.39620141
22	7.202772632
23	7.021021246
24	6.83135653
25	6.671384052
26	6.508660089
27	6.34316115
28	6.185632846
29	6.04450641
30	5.908386004
31	5.774348702
32	5.638967092
33	5.518234302
34	5.393678986
35	5.281172768
36	5.175274981
37	5.073813382
38	4.965773001
39	4.875082993
40	4.787831284
41	4.7000261
42	4.614268912
43	4.533747842
44	4.455031055
45	4.382541137
46	4.321420575
47	4.258918521
48	4.192160334
49	4.128430951
50	4.0713912
51	4.016147143
52	3.962088344
53	3.909402664
54	3.864754116
55	3.819735987
56	3.776184578
57	3.734476708
58	3.694957383
59	3.654740233
60	3.619243245
61	3.581819673
62	3.548311251
63	3.512390638
64	3.479760926
65	3.455047
66	3.429171116
67	3.403887451
68	3.38094055
69	3.363454264
70	3.341421206
71	3.319607713
72	3.293134945
73	3.272175968
74	3.253847619
75	3.234438783
76	3.216502715
77	3.196459339
78	3.182645956
79	3.166654682
80	3.150139155
81	3.132308246
82	3.11926704
83	3.10531444
84	3.08855505
85	3.078845292
86	3.066173536
87	3.054098219
88	3.038297152
89	3.025279353
90	3.014061057
91	3.004000317
92	2.992276431
93	2.984392697
94	2.97211924
95	2.966290807
96	2.954509041
97	2.943977022
98	2.934081842
99	2.92575341
100	2.918859546
101	2.908404647
102	2.899716758
103	2.892517934
104	2.885469966
105	2.878462748
106	2.868568578
107	2.861712387
108	2.854592854
109	2.847291332
110	2.841337278
111	2.83240604
112	2.826030678
113	2.821163526
114	2.814046423
115	2.807535305
116	2.800022557
117	2.792382259
118	2.789039675
119	2.780064019
120	2.776704359
121	2.772244277
122	2.766911013
123	2.760014929
124	2.756203107
125	2.749659926
126	2.742709809
127	2.736599907
128	2.730820861
129	2.724317677
130	2.718785497
131	2.712657725
132	2.70870478
133	2.703488702
134	2.698574143
135	2.692552524
136	2.687722156
137	2.682384123
138	2.674966235
139	2.669028974
140	2.664594151
141	2.659080916
142	2.655395558
143	2.650178138
144	2.645189356
145	2.641477295
146	2.634560688
147	2.631679081
148	2.628191325
149	2.625414344
150	2.619856121
151	2.616768621
152	2.611234073
153	2.607182951
154	2.602432913
155	2.599126888
156	2.594857209
157	2.590044664
158	2.583674458
159	2.580410431
160	2.573972531
161	2.567808694
162	2.564753406
163	2.561024761
164	2.56008216
165	2.555040729
166	2.552023811
167	2.548515308
168	2.54501597
169	2.541599323
170	2.536121821
171	2.53222854
172	2.526911977
173	2.523146571
174	2.51889842
175	2.514236608
176	2.510721133
177	2.507322247
178	2.503112761
179	2.499892692
180	2.495589154
181	2.492703713
182	2.49010334
183	2.487463367
184	2.483720932
185	2.479553554
186	2.475743479
187	2.469726944
188	2.46174814
189	2.457951295
190	2.454287415
191	2.448513603
192	2.444534836
193	2.440711243
194	2.435957545
195	2.432746509
196	2.429345793
197	2.423432115
198	2.422712767
199	2.419382155
200	2.414406126
201	2.410734059
202	2.405768551
203	2.404178897
204	2.40078505
205	2.397344413
206	2.395552236
207	2.392877143
208	2.389471847
209	2.386342032
210	2.38288252
211	2.37982536
212	2.377686578
213	2.374577873
214	2.371919708
215	2.368928286
216	2.366555208
217	2.362983286
218	2.362137941
219	2.356228399
220	2.350127684
221	2.34448603
222	2.3435033
223	2.341142571
224	2.339827887
225	2.33845424
226	2.335358421
227	2.332344247
228	2.326127212
229	2.318641655
230	2.315602166
231	2.314593088
232	2.307718824
233	2.304381201
234	2.299497417
235	2.295065026
236	2.291974657
237	2.290844653
238	2.28774906
239	2.281685096
240	2.274940115
241	2.274476067
242	2.270196651
243	2.263674851
244	2.262061546
245	2.259059912
246	2.258097983
247	2.252594419
248	2.249759148
249	2.24351125
250	2.240066873
251	2.239183225
252	2.23453595
253	2.23375711
254	2.229538755
255	2.222800421
256	2.216893512
257	2.215617222
258	2.211075353
259	2.210172785
260	2.203549813
261	2.20071737
262	2.197044443
263	2.196126107
264	2.189767732
265	2.186175168
266	2.180483851
267	2.17701417
268	2.174739674
269	2.168209024
270	2.162849458
271	2.156596735
272	2.151103077
273	2.150528263
274	2.148030753
275	2.146551235
276	2.146026024
277	2.142980806
278	2.138597614
279	2.133491238
280	2.127209179
281	2.123755011
282	2.121375954
283	2.120902985
284	2.114872861
285	2.109555018
286	2.106640867
287	2.102198878
288	2.098181018
289	2.09575093
290	2.095241441
291	2.092274225
292	2.086428649
293	2.081254234
294	2.077816883
295	2.073296892
296	2.070178974
297	2.063388076
298	2.06151594
299	2.057933971
300	2.056323734
301	2.05462309
302	2.049490106
303	2.048875139
304	2.04478767
305	2.040279325
306	2.037244049
307	2.031935853
308	2.027458639
309	2.022885594
310	2.016970825
311	2.01537416
312	2.012267301
313	2.009219126
314	2.005962996
315	2.000677523
316	1.9977131
317	1.992677014
318	1.99197136
319	1.987057422
320	1.981025195
321	1.977158253
322	1.973649207
323	1.969586638
324	1.96740545
325	1.961587048
326	1.957188968
327	1.953049587
328	1.948528076
329	1.94630599
330	1.942944791
331	1.938348376
332	1.934275025
333	1.929702577
334	1.927208519
335	1.926719979
336	1.924604776
337	1.922463051
338	1.920003976
339	1.915885984
340	1.913105745
341	1.907435633
342	1.903346701
343	1.902597221
344	1.898631162
345	1.895748513
346	1.893848177
347	1.891270418
348	1.888997939
349	1.887035964
350	1.881839549
351	1.879849433
352	1.876190014
353	1.871569179
354	1.870192025
355	1.866901741
356	1.864336659
357	1.860502523
358	1.859284253
359	1.858196176
360	1.853091005
361	1.849802808
362	1.848364138
363	1.844652936
364	1.839183501
365	1.837108182
366	1.833595061
367	1.830588013
368	1.828132215
369	1.827658843
370	1.824622606
371	1.820165796
372	1.817881487
373	1.814791907
374	1.811538473
375	1.807190239
376	1.805323192
377	1.801624117
378	1.800124806
379	1.798042886
380	1.796097717
381	1.792057564
382	1.789519642
383	1.787134465
384	1.784558654
385	1.781673488
386	1.778535437
387	1.775448935
388	1.773409516
389	1.769275012
390	1.765872672
391	1.765491044
392	1.760113815
393	1.759247058
394	1.755099921
395	1.751993656
396	1.748310189
397	1.747954868
398	1.74399863
399	1.741730611
400	1.740600859
401	1.738244177
402	1.734249586
403	1.729547334
404	1.726653904
405	1.722493851
406	1.717665462
407	1.71429724
408	1.71200157
409	1.708081447
410	1.704945523
411	1.703209665
412	1.700300936
413	1.698646067
414	1.696815067
415	1.69466281
416	1.693357095
417	1.692261149
418	1.691117585
419	1.688523723
420	1.686216115
421	1.682856699
422	1.680916897
423	1.678637784
424	1.674854395
425	1.672821636
426	1.671316339
427	1.667701048
428	1.666716121
429	1.66418719
430	1.662496131
431	1.658624782
432	1.65749265
433	1.652692989
434	1.652367805
435	1.648355846
436	1.644011354
437	1.641961426
438	1.639851181
439	1.636497226
440	1.632865739
441	1.630243504
442	1.628369645
443	1.62679716
444	1.623282106
445	1.619897749
446	1.618020697
447	1.613672137
448	1.613419919
449	1.611380112
450	1.609593173
451	1.607994164
452	1.60507192
453	1.603626232
454	1.602036513
455	1.601779063
456	1.599786215
457	1.596357923
458	1.593523659
459	1.590233058
460	1.590028052
461	1.586479985
462	1.583326048
463	1.581675304
464	1.580471165
465	1.580270383
466	1.578741599
467	1.576914616
468	1.57501117
469	1.571088076
470	1.567245688
471	1.564353152
472	1.560716745
473	1.558912008
474	1.557281274
475	1.55570562
476	1.551368943
477	1.551168837
478	1.547628378
479	1.545734089
480	1.543840695
481	1.542398088
482	1.54045436
483	1.537581133
484	1.537405917
485	1.53509719
486	1.532579636
487	1.529776724
488	1.526374268
489	1.522978908
490	1.521790917
491	1.518547452
492	1.517609908
493	1.515372913
494	1.514157446
495	1.512380373
496	1.512145562
497	1.510486441
498	1.510309685
499	1.509945891
500	1.509465368
501	1.507426534
502	1.503957699
503	1.501924596
504	1.498123667
505	1.497053176
506	1.49640787
507	1.494816685
508	1.493088614
509	1.490052552
510	1.486913785
511	1.483204283
512	1.480591779
513	1.477303962
514	1.474743474
515	1.471622946
516	1.468589095
517	1.467168255
518	1.464508946
519	1.462623221
520	1.460815311
521	1.459104283
522	1.456495893
523	1.454913904
524	1.453400138
525	1.450230157
526	1.449879094
527	1.448634306
528	1.445720593
529	1.443529759
530	1.441662433
531	1.439708002
532	1.438385597
533	1.435103211
534	1.434263597
535	1.431649083
536	1.428872976
537	1.425891184
538	1.424016472
539	1.421477655
540	1.421311668
541	1.41940501
542	1.419164117
543	1.416025708
544	1.41473592
545	1.412851344
546	1.410086417
547	1.408449882
548	1.405396109
549	1.403235377
550	1.401725533
551	1.399337471
552	1.398041594
553	1.397413811
554	1.394268389
555	1.391432152
556	1.38922881
557	1.387707285
558	1.384831576
559	1.38326391
560	1.381443534
561	1.380408326
562	1.377805152
563	1.377426954
564	1.376469677
565	1.375284906
566	1.373029325
567	1.37156849
568	1.370458893
569	1.369072592
570	1.367238101
571	1.363862644
572	1.361185413
573	1.35847695
574	1.355571034
575	1.3534575
576	1.351040651
577	1.349661615
578	1.348227709
579	1.345769745
580	1.343563831
581	1.340812651
582	1.339759974
583	1.337027994
584	1.333874681
585	1.33156966
586	1.330404548
587	1.329023187
588	1.327797743
589	1.325586664
590	1.323491901
591	1.322080892
592	1.31983051
593	1.316817672
594	1.315829697
595	1.315389653
596	1.314062847
597	1.311810465
598	1.310190952
599	1.30910465
600	1.30690596
601	1.306201632
602	1.304548213
603	1.303523701
604	1.302056653
605	1.299766596
606	1.298199034
607	1.295895447
608	1.293049005
609	1.292066383
610	1.289006545
611	1.286653092
612	1.284787706
613	1.282506809
614	1.282165171
615	1.280794599
616	1.279081786
617	1.277897822
618	1.276699387
619	1.275439789
620	1.272978883
621	1.271724868
622	1.268745607
623	1.267343692
624	1.265604499
625	1.262855247
626	1.261374222
627	1.260017733
628	1.259602576
629	1.259267672
630	1.258005907
631	1.256852195
632	1.256600387
633	1.25600793
634	1.255867547
635	1.253325888
636	1.251303718
637	1.248286271
638	1.245829468
639	1.243398471
640	1.241468715
641	1.238576505
642	1.237138257
643	1.236044877
644	1.234422552
645	1.23237638
646	1.231855101
647	1.231116225
648	1.229224241
649	1.228468467
650	1.226351244
651	1.224809514
652	1.22461339
653	1.223151001
654	1.220808392
655	1.218943475
656	1.218394814
657	1.216376528
658	1.214683087
659	1.213447983
660	1.211180221
661	1.208588988
662	1.207081201
663	1.205438957
664	1.204738597
665	1.203725429
666	1.202797299
667	1.200954353
668	1.199055263
669	1.198404253
670	1.197754163
671	1.195725147
672	1.19378783
673	1.19164826
674	1.191469331
675	1.189454252
676	1.188104285
677	1.186348664
678	1.184178126
679	1.183138245
680	1.181206309
681	1.179577015
682	1.177875798
683	1.175744537
684	1.175290569
685	1.17376332
686	1.173510792
687	1.172217063
688	1.170285735
689	1.168181851
690	1.166153448
691	1.164984925
692	1.16344355
693	1.161185911
694	1.160511852
695	1.160262787
696	1.158900327
697	1.157874776
698	1.157654748
699	1.156301763
700	1.15407816
701	1.153407609
702	1.151072376
703	1.150130936
704	1.148960761
705	1.147763856
706	1.14669313
707	1.145785904
708	1.143352558
709	1.14185128
710	1.139908643
711	1.137804756
712	1.136989356
713	1.135212735
714	1.132823153
715	1.131190153
716	1.129603176
717	1.127854544
718	1.126577009
719	1.12459884
720	1.122470999
721	1.120779431
722	1.118881108
723	1.118209393
724	1.116725051
725	1.115248659
726	1.113152473
727	1.111174955
728	1.110567271
729	1.108609897
730	1.108164566
731	1.107496959
732	1.107296876
733	1.106481365
734	1.105607171
735	1.103792762
736	1.101970445
737	1.100809058
738	1.098743844
739	1.096827065
740	1.094980219
741	1.093254641
742	1.091861226
743	1.09029167
744	1.089020018
745	1.087120431
746	1.086180705
747	1.0848484
748	1.084211009
749	1.082931977
750	1.081655232
751	1.08076898
752	1.080594292
753	1.079800941
754	1.077807795
755	1.075710704
756	1.073990346
757	1.073124826
758	1.072279764
759	1.070770899
760	1.068916993
761	1.067360365
762	1.067150523
763	1.065081104
764	1.063610195
765	1.062598896
766	1.061185795
767	1.060111638
768	1.058515791
769	1.056469128
770	1.055311482
771	1.053598607
772	1.052399715
773	1.050753133
774	1.049129325
775	1.047493916
776	1.046963935
777	1.045642393
778	1.044633988
779	1.043634481
780	1.041930361
781	1.041324741
782	1.03962594
783	1.039058291
784	1.038067477
785	1.036997576
786	1.035923222
787	1.034361663
788	1.033470931
789	1.031816641
790	1.031389312
791	1.030779316
792	1.029720927
793	1.028180752
794	1.026684558
795	1.026015362
796	1.025274468
797	1.023859304
798	1.022107179
