iter	Passed	Remaining
0	152	152516
1	155	77647
2	158	52839
3	162	40454
4	166	33079
5	169	28080
6	173	24558
7	176	21907
8	180	19832
9	182	18114
10	186	16767
11	189	15566
12	192	14634
13	195	13795
14	198	13024
15	201	12364
16	203	11757
17	205	11225
18	208	10790
19	211	10357
20	213	9944
21	216	9612
22	218	9296
23	220	8985
24	223	8705
25	225	8463
26	227	8212
27	231	8030
28	233	7826
29	235	7600
30	238	7439
31	240	7269
32	241	7088
33	244	6942
34	246	6809
35	248	6654
36	250	6525
37	252	6399
38	255	6291
39	257	6185
40	260	6082
41	262	5980
42	264	5879
43	266	5792
44	268	5696
45	270	5610
46	273	5535
47	274	5453
48	276	5368
49	278	5291
50	280	5224
51	282	5153
52	284	5080
53	286	5011
54	288	4958
55	290	4898
56	292	4842
57	294	4790
58	297	4737
59	298	4678
60	300	4629
61	302	4572
62	304	4522
63	306	4477
64	308	4431
65	310	4391
66	312	4349
67	314	4307
68	315	4262
69	316	4206
70	318	4167
71	320	4131
72	322	4095
73	325	4071
74	327	4035
75	328	3999
76	330	3963
77	332	3930
78	333	3891
79	335	3859
80	337	3828
81	339	3799
82	341	3768
83	342	3736
84	344	3706
85	345	3676
86	347	3649
87	349	3620
88	350	3592
89	352	3567
90	354	3539
91	355	3510
92	357	3483
93	358	3458
94	360	3432
95	362	3408
96	363	3386
97	365	3364
98	367	3340
99	368	3319
100	370	3297
101	372	3275
102	373	3252
103	375	3231
104	376	3211
105	378	3191
106	380	3171
107	381	3152
108	383	3134
109	384	3113
110	386	3094
111	387	3074
112	389	3056
113	391	3039
114	392	3022
115	394	3007
116	396	2992
117	398	2978
118	400	2964
119	402	2948
120	403	2934
121	405	2918
122	407	2904
123	409	2889
124	410	2876
125	412	2864
126	414	2850
127	416	2836
128	417	2821
129	419	2809
130	421	2796
131	423	2782
132	425	2770
133	426	2759
134	428	2746
135	430	2732
136	431	2720
137	433	2708
138	435	2696
139	437	2685
140	438	2674
141	440	2662
142	442	2651
143	444	2640
144	445	2629
145	447	2618
146	449	2606
147	450	2595
148	452	2585
149	454	2574
150	456	2565
151	457	2554
152	459	2543
153	461	2533
154	462	2523
155	464	2512
156	466	2503
157	467	2493
158	469	2483
159	471	2473
160	472	2464
161	474	2455
162	476	2445
163	477	2435
164	479	2426
165	481	2417
166	482	2408
167	484	2399
168	486	2390
169	487	2381
170	489	2372
171	490	2363
172	492	2354
173	494	2345
174	495	2336
175	497	2328
176	498	2319
177	500	2312
178	502	2304
179	504	2296
180	505	2289
181	508	2283
182	509	2275
183	511	2267
184	512	2259
185	514	2252
186	516	2245
187	518	2237
188	519	2229
189	521	2221
190	522	2214
191	524	2208
192	526	2200
193	527	2193
194	529	2186
195	531	2179
196	532	2172
197	534	2165
198	536	2159
199	538	2152
200	540	2146
201	541	2140
202	543	2134
203	545	2128
